不幸に なる しか,ない
ない,悲劇
悲劇 の,工 数
工 数 で しか,ない
ない,
この,案件
案件,成功 さ せる こと できる
本当に,成功 さ せる こと できる
成功 さ せる こと できる が のでしょう か,
笹尾 先輩 の,写真 認証 システム
写真 認証 システム だ よ,
なぜ,思う
そう,思う
思う の か って,具合
実際 に,具合
前 の,案件
案件 が,具合
そんな,具合
具合 だった から だ,
この,僕
鍵,僕
僕 の,顔
顔 の,写真
写真 で は,優れ もの
絶対 に,開か ない
開か ない,優れ もの
優れ もの な んだ よ,
萌 夢 特製 の,ドア 認証 システム
ドア 認証 システム だ よ,
だって,私
こんなに,やって
なに,やって
やって も,いか ない
うまく,いか ない
いか ない,こと
こと ばかり の,私
私 だ よ,
南 くん が,出よう した
会議 室 を,出よう した
出よう した と,瞬間
瞬間,反転 して
身体 が,反転 して
くるっと,反転 して
反転 して,言って きた
突然,言って きた
お 願い を,言って きた
言って きた,
え,つもり
難しい,これ
これ,こと
簡単な,こと
こと しか,書いて ない
書いて ない,つもり
つもり だ けど,
夜空 に は,輝いて いる
まだ,輝いて いる
無数の,星
星 が,輝いて いる
輝いて いる,
プラン キッド に,狙わ れた
狙わ れた,家
家 の,ネットワーク
ネットワーク を,調べて いく
調べて いく と,開いて いた
どういう,わけ
わけ か,開いて いた
その,ポート 番号
ポート 番号 が,開いて いた
開いて いた のだ と,いう
いう,
まぁ,設置 して
萌 夢 が,設置 して
この,認証 システム
認証 システム を,設置 して
設置 して から は,失った
僕 が,開ける
外 から,開ける
鍵 を,開ける
開ける,手段
手段 を,失った
失った ので,停止 して る
その,軟禁 機能
軟禁 機能 は,停止 して る
僕 が,停止 して る
人為 的に,停止 して る
停止 して る んだ けど,
強い,脱力 感
脱力 感 に,襲わ れた
襲わ れた,
そこ で,依頼 した
小さな,会社
会社 でも,販売 した
AI スピーカー,トロロ
トロロ を,販売 した
販売 した,弊社
実績 の,ある
ある,弊社
弊社 に,依頼 した
依頼 した らしい,
いつも の,会議 室 予約 した
会議 室 予約 した から,聞か せて
話 を,聞か せて
聞か せて よ,
する と,反応 した
その,スカイブルー
スカイブルー の,人形
丸い,人形
人形 は,反応 した
早速,反応 した
南 くん の,トロロン
トロロン と,いう
いう,キーワード
キーワード に,反応 した
反応 した,
まるで,すれば
この先,すれば
どう,すれば
すれば,開く
ドア が,開く
開く の か,わかって いる
全て,わかって いる
わかって いる か の ようで,
綺麗 って,言わ れて
言わ れて も,なる
すぐ に,なる
怒った ような,顔
顔 に,なる
なる し,
南 くん も,同意
却下 に は,同意
同意 だった ようだ,
朱美 さん,
あ,朱美 さん
朱美 さん,
ひょっとしたら,ある しれ ない
この,クライアント
クライアント,気
やる,気
気 だけ は,ある しれ ない
ある しれ ない の かも な,
私 は,気づいて しまった
ぐるり と,見渡した
見渡した,部屋
部屋 の,中
中 から,見つける
その,見覚え
見覚え の,ある
ある,スカイ ブルー
華やかな,スカイ ブルー
スカイ ブルー の,物体
物体 を,見つける
見つける と,気づいて しまった
ちょっと,不思議な
不思議な,こと
こと に,気づいて しまった
気づいて しまった,
次に,出した の
そんな,言葉
言葉 を,出した の
口 に,出した の
出した の は,南 くん
南 くん だった,
大工 さん に,聞く の
金槌 の,好きな
好きな,ところ
ところ って,何？
何？ と,聞く の
聞く の と,話 しれ ない
似た ような,話 しれ ない
話 しれ ない かも,
ただ,決まって いる
実際 に は,決まって いる
もう,少し
少し,先
先 まで,決まって いる
予定 が,決まって いる
決まって いる ようだ,
カレー が,出来 上がる
出来 上がる と,した
南 くん は,した
手際,よく
よく,した
３ 人 分 の,盛り 付け
盛り 付け を,した
した,
そもそも,話
畠山 課長 の,話
話 だ と,決める
今月 末 まで に,決める
具体 的に,する
何 を,する
する か を,決める
決める と,いう
いう,話 なかった
話 なかった で は の か,
立川 家 の,ネットワーク
ネットワーク の,萌 夢 ちゃん
場合 も,南 くん
南 くん も,萌 夢 ちゃん
萌 夢 ちゃん も,知ら ない
知ら ない,うち
うち に,開放 して いた
1412 番 ポート が,開放 して いた
開放 して いた と,いう
いう,こと
こと だろう か,
それ が,できる
できる ように,作ら なければ なら ない
資料 を,作ら なければ なら ない
作ら なければ なら ない,
私 は,曲がろう する
自分 の,ため
うち へ,帰る
帰る,ため
ため,曲がろう する
スーパー を,曲がろう する
出る と,曲がろう する
左 に,曲がろう する
曲がろう する と,
が,一瞬
私 が,できた の
ほっと,できた の
できた の は,一瞬
ほんの,一瞬
一瞬 だった ようだ,
それにしても,驚か さ れて る
南 くん は,言ったり
堂々と,言ったり
三上 部長 に,言ったり
あれこれ,言ったり
言ったり,驚か さ れて る
私 も,驚か さ れて る
その,行動 力
行動 力 に は,驚か さ れて る
十分,驚か さ れて る
驚か さ れて る けど,感じ しれ ない
立川 家 って,感じ しれ ない
ひょっとすると,感じ しれ ない
家族 全体 で,感じ しれ ない
そんな,感じ しれ ない
感じ しれ ない な の かも な,
その,やりとり
やりとり は,あった
萌 夢 ちゃん の,方
方 が,あった
一理,あった
あった,
でも,いい しれ ない
そんな の,いい しれ ない
正直,いい しれ ない
どう だって,いい しれ ない
いい しれ ない の かも,
もう,嫌い
お 兄ちゃん なんか,嫌い
大 っ,嫌い
嫌い,
あ,そう
そう だった んだ,
南 くん,やめて
私 の,こと
こと,綺麗だ
綺麗だ なんて,やめて
嘘 を,つく の
つく の は,やめて
やめて よ,
そこ で,振ら なくて
私 に,振ら なくて
振ら なくて,いいから
いいから,
あー,聞いて なかった
いや,聞いて なかった
先週 の,金曜日
金曜日 の,顧客
顧客 と の,打ち合わせ
打ち合わせ の,結果
結果 を,聞いて なかった
まだ,聞いて なかった
聞いて なかった な と,思って
思って,
カレー に,言わ れて みる
とろろ 芋,言わ れて みる
言わ れて みる と,混ぜて
カレー に,混ぜて
とろろ 芋 を,混ぜて
混ぜて,食べる の
食べる の も,する
ありな 気 が,する
する けど,した
えっ と,する
どんな,味
味 が,する
する んだろ,舌
舌 が,痛く なり そうな
痛く なり そうな,ほど
ほど の,カレー
辛い,カレー
カレー に,した
とろっと,した
した,とろろ 芋
とろろ 芋,
なぜなら,なれる
私 達 の,仕事
仕事 は,なれる
誰 も が,なれる
笑顔 に,なれる
なれる,システム
システム を,提案 する
提案 する,こと
こと な んだ から,
それ は,声
とても,暖かい
暖かい,声
声 だった,
萌 夢 ちゃん は,答えた
えくぼ を,つくって
つくって,答えた
とびっきり の,笑顔
笑顔 で,答えた
答えた,
感激,した
した んだ,
とりあえず,変えて いこう
話 の,方向 性
方向 性 を,変えて いこう
変えて いこう,
まさか,いた
出版 社 に まで,いた
知り合い が,いた
いた と は,
そうこう,考えて いる
考えて いる と,ぶち当たった
こんな,疑問
疑問 に,ぶち当たった
ぶち当たった,
私 は,気づいた
勢い,余って
余って,気づいた
思わず,出て しまった
本音 が,出て しまった
出て しまった,こと
こと に,気づいた
騒いだ,後
後 に,なって
なって から,気づいた
気づいた,
で,南 くん
南 くん,
たとえ,顔 して
それ が,顔 して
泣きじゃくって いて,情けない
情けない,顔 して
顔 して だった と も,顔 して
怒り 心頭 で,顔 して
鬼 の ような,顔 して
顔 して だった と も,間違え
ここ に,映る の
映る の は,間違え
間違え,私
なく,私
私 な のだ から,
萌 夢 ちゃん の,AI
想い と,AI
AI が,融合 さ れた
融合 さ れた,部屋
部屋,
そう,南 くん
南 くん は,揃えて いた
３ 人 分 の,カレー
カレー の,材料
材料 を,揃えて いた
揃えて いた んだ,
その,仕組み
仕組み は,呼ば れたり する
ニューラル ネットワーク と も,呼ば れたり する
呼ば れたり する も,
なんとなく,付き合って ほしい
私 に,付き合って ほしい
買い物,付き合って ほしい
付き合って ほしい と か,どう
それ って,どう
どう な んだろう と,いう
いう,気
気 も,し ない こと ない
し ない こと ない けど,
自分 自身 の,可愛らし さ
可愛らし さ を,表現 して いる
AI を,使って
使って,表現 して いる
表現 して いる か の ような,
あ,うん
うん,
南 くん の,顔
顔 が,戻った
犬 の ような,顔
甘えた,顔
顔 に,戻った
戻った,
カメラ の,レンズ
レンズ に,写る
写る,私
私 は,笑って い ない
確かに,笑って い ない
笑って い ない,
すると,解説 して くれる
南 くん は,解説 して くれる
横 で,大笑い し
大笑い し ながら,解説 して くれる
こう,解説 して くれる
解説 して くれる,
さすが,わかった
朱美 ちゃん,わかった
よく,わかった
わかった ね,
とろろ 芋 の,盛り 付け
盛り 付け まで,終わる
終わる と,並んだ
ようやく,並んだ
食卓 に,並んだ
全て の,食事
食事 が,並んだ
並んだ,
なお,購入 する こと なって いた
ちょっと,ケチな
ケチな,弊社
弊社 で は,購入 する こと なって いた
こういった,実験 機材
実験 機材 も,当たり前の
当たり前の ように,購入 する こと なって いた
自腹 で,購入 する こと なって いた
購入 する こと なって いた に,
少し,先
先 に,ある
なに が,ある
ある の か,見え ない の
そこ まで,見え ない の
見え ない の は,同じだ
あの,時
時 と,同じだ
同じだ けど,感じて いる
でも,感じて いる
今日 は,感じて いる
光 の,暖か さ
暖か さ を,感じて いる
感じて いる,
ごめん,
南 くん,
なぜなら,信用 して しまう
こっち が,実現 できる どう
実現 できる どう か か,でき ます
怪しい,もの
もの に,対して
対して,でき ます
でき ます と,言って る
言って る ような,もの
もの で,信用 して しまう
相手 も,信用 して しまう
それ を,信用 して しまう
さも,当然の
当然の ように,信用 して しまう
できる,もの
もの だ と,信用 して しまう
信用 して しまう,
そこ から,歩く
まっすぐ,１ ２ 分
１ ２ 分,歩く
歩く と,あった
比較的,大き めの
大き めの,スーパー
スーパー が,あった
あった,
アケミサン デ,シャシンヲトウロクシマス
シャシンヲトウロクシマス,
今 は,隔離 して おいた
会社 の,基幹 ネットワーク
基幹 ネットワーク と は,隔離 して おいた
別の,ネットワーク
ネットワーク に,隔離 して おいた
こっそり,隔離 して おいた
隔離 して おいた,
こんなに,情けない
情けない,私
私 の,どこ
どこ に,ある
綺麗 の,要素
要素 が,ある
ある と,いう
いう のだろう,
誰 が,開いた
何の,ため
ため に,開いた
開いた,ポート 番号
ポート 番号 な の か,まま
未だに,まま
謎 の,まま
まま だ と,いう
いう,
もちろん,し すぎる の
それ ばかり,し すぎる の
気 に,し すぎる の
し すぎる の も,良く ない しれ ない
良く ない しれ ない の かも,
そん,じゃあ
じゃあ,普及 した
私 は,普及 した
AI が,普及 した
普及 した,背景
背景 に,ついて
ついて,まとめて いく
まとめて いく から,まとめて
南 くん は,まとめて
その,AI
AI の,仕組み
仕組み に,ついて
ついて,まとめて
まとめて ね,
どうやら,開ける
それ が,開ける
鍵 を,開ける
開ける,ため
ため の,仕組み
仕組み に,なって る
なって る ようだ,
しょんぼり,し
し ながら,歩く
歩く,南 くん
南 くん の,後ろ姿
後ろ姿 は,現して いる
なんとも,現して いる
今日 の,出来事
出来事 を,現して いる
身体 で,現して いる
現して いる か の ようだった,
ぐっと,堪えて る
堪えて る はずな のに,我慢 して いる
こんなに,我慢 して いる
我慢 して いる はずな のに,見 られて しまった
その,涙
涙 を,見 られて しまった
南 くん に,見 られて しまった
見 られて しまった ようだ,
今日 は,止む こと ない
雨 が,止む こと ない
止む こと ない は の か な,
その,笑顔
笑顔 に,つら れて
つら れて,なって しまう
私 も,なって しまう
思わず,なって しまう
笑顔 に,なって しまう
なって しまう,
南 くん は,答える
そう,答える
答える と,回し 始めた
傘 の,先
先 を,密着 さ せて
ホーム に,密着 さ せて
密着 さ せて,回し 始めた
先ほど と,同じ
同じ ように また,回し 始めた
くるくる と,回し 始めた
回し 始めた,
何 を,考えて いた
考えて いた んだろう,何
何 か を,考えよう した
考えよう した と,瞬間
瞬間,こぼれ落ちて いく
私 の,身体
身体 は,拒み
それ を,拒み
拒み,こぼれ落ちて いく
あっという間 に,こぼれ落ちて いく
それ は,こぼれ落ちて いく
記憶 から,こぼれ落ちて いく
こぼれ落ちて いく,
南 くん は,言う こと ある
多摩 都市 モノレール なんて,できた
僕 が,できた
生まれる より,できた
後 に,できた
できた んだ から,ある
本来,ある
著作 権 は,ある
僕 に,ある
ある んだ なんて,言う こと ある
冗談 めいた,こと
こと を,言う こと ある
言う こと ある が,
畠山 課長 の,話
話 に,よる
よる と,こと
まずは,見せて ほしい
AI と は,もの
こういう,もの
もの だ と,いう
いう,デモ
デモ を,見せて ほしい
見せて ほしい と の,こと
こと だった,
萌 夢 の,大 好物
大 好物,
振り返り と は,提示 し あって
これ ら,３ つ
３ つ を,提示 し あって
参加 者 で,提示 し あって
提示 し あって,方法
今後,して いく
どう,して いく
して いく べき か など,方法
問題 点 の,可視 化
可視 化 を,して いく
して いく,方法
方法 だ,
ようするに,アクセス し ない
外出 先 から,アクセス し ない
スマホ など で,アクセス し ない
自宅 の,ネットワーク
ネットワーク に,アクセス し ない
アクセス し ない,限り
限り は,開放 する
ポート を,開放 する
開放 する,こと
こと など,ありえ ない
ありえ ない,
まぁ,とんでもない ない
しっかり,して いる
して いる と,とんでもない ない
とんでもない ない わけで は は,イコールで ない しれ ない
イコールで ない しれ ない は の かも けど,さ せて しまう
さすが,ある
南 くん の,妹
妹 だけ の,こと
こと は,ある
ある って,さ せて しまう
そんな,予感
予感 を,さ せて しまう
さ せて しまう,
玉ねぎ が,２００ グラム
２ つ で,２００ グラム
豚肉,２００ グラム
２００ グラム,
違う よ,朱美 ちゃん
朱美 ちゃん,
はい,
私 が,助け 出す
思い ついた,内容
内容 と は,助け 出す
萌 夢 ちゃん を,助け 出す
助け 出す,方法
方法 である,こと
こと は,間違え なかった
間違え なかった のだ けど,方法
できれば,考え たく ない
考え たく ない も,方法
方法 であって,はず
きっと,南 くん
南 くん なら,見つけて くれる
他 に も,見つけて くれる
方法 を,見つけて くれる
見つけて くれる,はず
はず と,期待
そんな,期待
淡い,期待
期待 を,
よく,騙して
わから ない,出版 社
出版 社 を,騙して
AI を,使って
使って,騙して
騙して,ない
何も,ない
ない ような,内容
内容 に,する
する,
わーい,
あ,思い出した
そう,いえば
いえば,思い出した
とろろ 芋 で,思い出した
思い出した,
どうして,開け られ ない
中 から,開け られ ない
開け られ ない,鍵
鍵 なんて,出 られ ない ない
設置 して くれた の よ,これ
これ じゃ,出 られ ない ない
わたし 外 に,出 られ ない ない
出 られ ない ない じゃ,
さすが に,さ せて
モチベーション 下げ,さ せて
さ せて まで,作業
作業 を,奪い取る いか ない
奪い取る いか ない わけに は よ ね,
こちら こそ,よろしく
よろしく,
私 の,不安
不安 は,フォロー して いく ない
私 で,フォロー して いく ない
フォロー して いく ない しか,
それ って,誰？
誰？,
南 くん に,気づいて 欲しい
開発 者 側 の,視点 なく
視点 なく で は,視点
ユーザー 側 の,視点
視点 に,気づいて 欲しい
気づいて 欲しい,
萌 夢 ちゃん,
会議 室 を,片付け
片付け ながら,言って いる
南 くん は,言って いる
まだ,言って いる
ぶつぶつ,言って いる
言って いる,
朱美,大丈夫
大丈夫,見開いた
その,頭
頭 の,中
中 を,する
する,声
りと,すり抜ける
すり抜ける ような,声
声 に,反応 し
私 は,反応 し
なんとか,反応 し
反応 し,見開いた
目 を,見開いた
ぱっと,見開いた
見開いた,
あ,そう
そう,
でも,話
それ と,今回
今回 の,プレゼン
プレゼン は,話
別の,話
話,
ちょっと,南 くん
南 くん,し なさい
この,妹
妹 を,し なさい
なんとか,し なさい
し なさい,
なんだか,思い 返す
思い 返す と,なる
ちょっと,恥ずかしい
恥ずかしい,気分
気分 に,なる
なる,
くっ,遅かった
遅かった か,
ずっと,繰り返して いた
そんな,時間
時間 を,繰り返して いた
繰り返して いた,気
気 が,する
する,
Problem : 萌 夢 と,喧嘩 して しまった
喧嘩 して しまった,
今度 は,ついて る
僕 が,ついて る
ついて る し,いて
大 舟 に,いて
乗った,気持ち
気持ち で,いて
いて よ,
あーだ めだ,
なるほど,
そう,
今回 の,目的
目的 は,こと
クライアント から,こと
AI を,使って やり たい
使って やり たい,こと
こと を,聞き 出す
聞き 出す,こと
こと だ,
そん,じゃあ
じゃあ,打ち合わせ 始めよう
打ち合わせ 始めよう か,
する と,取る
ちょっと,細長い
細長い,もの
もの を,取る
手 に,取る
取る と,放り 込んだ
ぽいっと,かご
かご の,中
中 に,放り 込んだ
放り 込んだ,
それにしても,呼ぶ
南 くん,呼ぶ
私 の,こと
こと を,呼ぶ
朱美 ちゃん,て
て,呼ぶ
呼ぶ の,そろそろ
そろそろ,止めて ほしい
止めて ほしい な,
ねぇ,南 くん
南 くん,
と,書く なく
書く なく まで も,多い しれ ない
この,辺り
辺り に,多い しれ ない
住んで る,方
方 なら,多い しれ ない
およそ,気づく
その,理由
些細な,理由
理由 に,気づく
気づく,人
人 も,多い しれ ない
多い しれ ない かも ね,
私 の,いい
いい,ところ
ところ か,
なんだか,悔しい
とっても,悔しい
悔しい な,
わかった,
なぜなら,なって しまう
不用意に,開放 して しまう
ポート を,開放 して しまう
開放 して しまう と,なって しまう
そこ が,なって しまう
攻撃 の,突破 口
突破 口 と,なって しまう
なって しまう から だ,
畠山 課長 は,立ち 上がろう する
今日 は,ここ
ここ まで と,いう
いう か の ように,立ち 上がろう する
さっと,立ち 上がろう する
立ち 上がろう する と,
私 は,聞いて みる こと した
もう,泣き そうに なり
泣き そうに なり ながら,聞いて みる こと した
南 くん に,聞いて みる こと した
お 願い でも,する
する ように,聞いて みる こと した
その,本意
本意 を,聞いて みる こと した
聞いて みる こと した に,
もう,少し
少し,多ければ
横浜 線 の,本数
本数 が,多ければ
多ければ,する
楽な,気
気 が,する
する んだ けど な,
萌 夢,今 すぐ
今 すぐ,タイタン
タイタン の,電源
電源 を,切れ
切れ,
畠山 課長 は,見た
私 を,睨む
睨む ような,目
目 で,見た
見た,
僕 が,作る
深層 学習 の,説明
説明 の,資料
資料 を,作る
作る ね,
その,瞬間
瞬間,かけて きた
南 くん が,かけて きた
もう,一 度
一 度,かけて きた
声 を,かけて きた
かけて きた,
さて,付き合った
南 くん の,買い物
買い物 に も,付き合った
付き合った し,帰ろ
私 も,帰ろ
帰ろ っと,
と,いう
いう か,なったら
２ 人 と も,なったら
いつ に,なったら
なったら,帰して くれる
私 を,帰して くれる
帰して くれる の,
と,いう
いう か,ない
それ しか,ない
方法 は,ない
ない はずだ,
朱美 さん,頑張って
頑張って,
これ の,どこ
どこ が,駄目だ
駄目だ って,答えて
いう の,朱美 ちゃん
朱美 ちゃん,答えて
ちゃんと,答えて
答えて よ,
私 の,頭
頭 の,中
中 は,考える こと した
およそ,一 周
一 周,して
して,考える こと した
そう,考える こと した
考える こと した に,
あの,日
日 も,同じ
今日 と,同じ
同じ ように,降って いた
午前 中 は,降って いた
雨 が,降って いた
降って いた,
そんな,状況
状況 だ から,大きく でき ない
予算 は,大きく でき ない
それほど,大きく でき ない
大きく でき ない,もの
もの の,始めて み たい
まずは,始めて み たい
始めて み たい と,いう
いう,想い
想い も,あった
あった ようだ,
カシャ,
私 は,入った
そっと,開ける
ドア を,開ける
開ける と,入った
南 くん は,入って こ
入って こ ないで と,いう
いう,合図
合図 だけ,して
して,入った
萌 夢 ちゃん の,部屋
部屋 の,中
中 に,入った
入った,
ただ,聞いた
さっき の,話
話 を,聞いた
聞いた,限り
限り だ と,あった
とんでもない,妹
妹 と,いう
いう,イメージ
イメージ が,あった
あった けど,妹 さん
意外に も,して そうな
ちゃんと,して そうな
しっかり,して そうな
して そうな,妹 さん
妹 さん だった,
萌 夢 ちゃん は,言って る
何一つ,失礼な
失礼な,こと
こと を,言って る
言って る,つもり
つもり は,ない
ない らしく,言い 出す
目 を,さ せて
きょとんと,さ せて
さ せて,言い 出す
そんな,こと
こと を,言い 出す
言い 出す,
きっと,こと
そんな,時間
時間 まで,仕事 する なって
仕事 する なって,こと
こと な んだろう けど,あった
私 は,なった
やりきれない,気持ち
気持ち に,なった
なった,こと
こと が,あった
何度 も,あった
あった,
萌 夢,
そう,言い
言い ながら,入れた
辛口 の,カレー ルー
カレー ルー を,入れた
かご の,中
中 へ,入れた
入れた,
さっき まで,いい
いい,話
話 で,まとめよう して た
まとめよう して た と のに,台無しじゃ
これ じゃ,台無しじゃ
台無しじゃ ん,
ねぇ,南 くん
南 くん,
今度 は,笑って ください
ちゃんと,笑って ください
笑って ください,
それ は,陥る
唯一 の,味方
味方 に,返さ れた
手のひら を,返さ れた
返さ れた か の ようで,陥る
私 は また,窮地
窮地 に,陥る
陥る,
トロロ の,脆弱 性
脆弱 性 って,修正 さ れた
修正 さ れた の,
ああ,そう
そう だ,
だ けど,ある
OS が,違って
違って も,ある
似た ような,動き
動き を,する
する,ワーム
ワーム を,作ら れて しまって
新たに,作ら れて しまって
作ら れて しまって は,ある
やはり,受けて しまう
同様の,攻撃
攻撃 を,受けて しまう
受けて しまう,可能 性
可能 性 が,ある
ある,
光 の,先
先 から,映って いる
少し,前
前 を,歩く
歩く,南 くん
南 くん の,影
影 が,映って いる
映って いる,
見る と,残さ れて いた
南 くん の,メモ
メモ に は,残さ れて いた
こんな,感じ
感じ に,残さ れて いた
残さ れて いた,
そりゃ また,なんちゅう 妹
なんちゅう 妹 だ,言って る
言って る,こと
こと,聞こえる の
全て が,聞こえる の
いろいろ,聞こえる の
異様に,聞こえる の
聞こえる の は,気のせい
気のせい だろう か,
AI を,使って
使って,して ほしい
何 か,して ほしい
して ほしい と,いう
いう,案件
案件 だ,
ひょっとしたら,言える しれ ない
大工 さん は,言える しれ ない
れっきとした,ところ
金槌 の,好きな
好きな,ところ
ところ を,言える しれ ない
言える しれ ない の かも けど,思い つか なかった
少なくとも,思い つか なかった
私 に は,思い つか なかった
思い つか なかった,
南 くん,
野菜 が,感じる
恐ろしい,ほど
ほど,感じる
甘く,感じる
感じる のだ,
私 は,あった
やや,不安に
不安に,感じる
感じる,ところ
ところ が,あった
あった,
なるほど,加わる
ここ に,加わる
とろろ 芋 が,加わる
加わる から だろう,
じゃあ,言う
言う ね,
あ,かけ ます
朱美 さん も,かけ ます
カレー に,かけ ます
とろろ 芋,かけ ます
かけ ます,
AI と,いう
いう,言葉
言葉 を,する なった
頻繁に,する なった
耳 に,する なった
する なった ように,ひと つ
理由 の,ひと つ
ひと つ が,発展
この,深層 学習
深層 学習 の,発展
急速な,発展
発展 だ,
私 は,気分
笑顔 どころ か,気分
本当に,泣き たい
泣き たい,気分
気分 だ,
だ から,やってくる
その,自信
自信 は,やってくる
どこ から,やってくる
やってくる のだろう,
そ したら,紹介 する
今週 の,金曜日
金曜日 に,行う
行う,デモ
デモ と,いう の
いう の は,紹介 する
本当に,基本 的な
基本 的な,仕組み
AI の,仕組み
仕組み を,紹介 する
紹介 する と,いう
いう,感じ
感じ で,いい
いい のでしょう か,
私 と,南 くん
南 くん は,悩ま せる こと なる
その,ないない づくし
ないない づくし な,頭
内容 また に,頭
頭 を,悩ま せる こと なる
悩ま せる こと なる に,
カラフルな,色
色 で,装飾 さ れた
装飾 さ れた,ベッド
カーテン や,ベッド
ベッド,ベッド
ベッド の,手前
手前 に,置いて ある
置いて ある,きつね
巨大な,きつね
きつね の,ぬいぐるみ
ぬいぐるみ,
萌 夢 ちゃん は,用意 して
小 皿 を,用意 して
用意 して,のせた
カレー 用 スプーン,一 杯 分
一 杯 分 くらい の,とろろ 芋
とろろ 芋 を,のせた
それ に,のせた
のせた,
いつも,頼りない
頼りない,兄
兄 が,お 世話 なって ます
お 世話 なって ます に,
珍しく,素直だ
素直だ,
ここ は,どこ
いったい,どこ
どこ な のだろう,
大丈夫だ よ,朱美 ちゃん
朱美 ちゃん,
南 くん は,貼った
３ 枚 の,付箋 紙
付箋 紙 を,貼った
それぞれ,貼った
ホワイトボード の,該当 箇所
該当 箇所 へ,貼った
貼った,
だけど,いっか
まだ,終わった
この,顧客
案件,顧客
顧客 と の,打ち合わせ
一番,最初の
最初の,打ち合わせ
打ち合わせ が,終わった
終わった だけ だ し,いっか
ひとまず,いっか
一 個 ずつ で,いっか
いっか,
でも,なんで
どんなに,楽な の
混んだ,電車
電車 でも,楽な の
一 人 で,帰る
帰る より,楽な の
二 人 で,帰る
帰る,ほう
ほう が,楽な の
気持ち 的に,楽な の
楽な の は,なんで
なんで だろう,
その,ホワイトボード
ホワイトボード に,書か れる
書か れる,スケジュール
スケジュール と,同じ
同じ,もの
もの を,メモ して いた
私 は,メモ して いた
ノート に,メモ して いた
メモ して いた,
そして,来た
雨 の,音
音 が,聞こえ なく なった
聞こえ なく なった,夕方
夕方 の,頃
頃,来た
畠山 課長 が,来た
会議 室 の,ドア
ドア を,開け
開け,終了 した
案件 が,終了 した
終了 した,こと
こと を,告げ
告げ に,来た
来た んだ,
私 は,不安に なって きた
ますます,不安に なって きた
不安に なって きた,
もう,少し
少し,簡単に
簡単に,言う
言う ならば,ユーザー 目線
三上 部長 の,話
話 って,ユーザー 目線
およそ,ユーザー 目線
開発 者 目線 なく で は,ユーザー 目線
ユーザー 目線 な んだ,
南 くん,答えて くれ なかった
答えて くれ なかった けど ね,
はい,
トロロ は,もの
去年,もの
南 くん の,新人 教育
新人 教育 の,一環
一環 と,して
して,もの
南 くん 自身 が,開発 した
開発 した,もの
もの,
カメラ の,レンズ
レンズ に,写った
ぼやっと,写った
写った,私 なく
白黒 の,私 なく
私 なく で は,私
鮮明に,映った
映った,私
ありのままの,私
私,
タイタン が,活躍 して くれる
いろいろ,活躍 して くれる
活躍 して くれる の,
目的,
萌 夢,
南 くん が,手渡す
とろろ 芋 を,手渡す
手渡す と,剥き
するする っと,剥き
皮 を,剥き
剥き,すり 始めた
すり鉢 で,すり 始めた
ごしごし と,すり 始めた
すり 始めた,
翌日,
あ,書き 終わり ました
今,書き 終わり ました
書き 終わり ました,
そ したら,なって る
タイタン が,なって る
サーバー へ,なって る
写真 を,見分け られる こと 出来たら
